Company,Revenue (Approx. Annual),URL,Industry
Brilliant Earth,$445M,https://www.brilliantearth.com,Jewelry
Rocky Brands,$450M,https://www.rockybrands.com,Footwear
Olaplex,$435M,https://www.olaplex.com,Hair Care
e.l.f. Beauty,$1B,https://www.elfcosmetics.com,Cosmetics
The Honest Company,$380M,https://www.honest.com,Baby & Personal Care
BeautyHealth,$370M,https://www.beautyhealth.com,Beauty Devices
Vital Farms,$600M,https://www.vitalfarms.com,Food (Eggs & Dairy)
Freshpet,$975M,https://www.freshpet.com,Pet Food
BARK,$490M,https://www.bark.co,Pet Products & Subscription
Tootsie Roll Industries,$760M,https://www.tootsie.com,Confectionery
WD-40 Company,$570M,https://www.wd40.com,Consumer Products
MGP Ingredients,$700M,https://www.mgpingredients.com,Spirits & Beverages
The Duckhorn Portfolio,$405M,https://www.duckhorn.com,Wine
John B. Sanfilippo & Son,$1B,https://www.jbssinc.com,Packaged Snacks & Nuts
Portillo's,$700M,https://www.portillos.com,Restaurants
First Watch,$950M,https://www.firstwatch.com,Restaurants
CAVA Group,$955M,https://www.cava.com,Restaurants
Sweetgreen,$680M,https://www.sweetgreen.com,Restaurants
Wingstop,$625M,https://www.wingstop.com,Restaurants
El Pollo Loco,$480M,https://www.elpolloloco.com,Restaurants
Noodles & Company,$500M,https://www.noodles.com,Restaurants
Potbelly,$470M,https://www.potbelly.com,Restaurants
The ONE Group Hospitality,$680M,https://www.togrp.com,Restaurants
FAT Brands,$570M,https://www.fatbrands.com,Restaurant Franchising
Denny's,$460M,https://www.dennys.com,Restaurants
Shake Shack,$1B,https://www.shakeshack.com,Restaurants
Chuy's Holdings,$470M,https://www.chuys.com,Restaurants
Dine Brands Global,$820M,https://www.dinebrands.com,Restaurant Franchising
Lindblad Expeditions,$650M,https://www.expeditions.com,Expedition Travel & Cruises
The Marcus Corporation,$720M,https://www.marcuscorp.com,Cinemas & Hotels
Monarch Casino & Resort,$500M,https://www.monarchcasino.com,Casinos & Resorts
Playa Hotels & Resorts,$1B,https://www.playaresorts.com,Resorts
OneSpaWorld,$650M,https://www.onespaworld.com,Wellness & Spas
Bowlero,$1.15B,https://www.bowlero.com,Entertainment Centers
Century Casinos,$560M,https://www.cnty.com,Casinos & Resorts
Malibu Boats,$830M,https://www.malibuboats.com,Recreational Boats
Johnson Outdoors,$600M,https://www.johnsonoutdoors.com,Outdoor Recreation
Manchester United,$700M,https://www.manutd.com,Sports & Entertainment
Hims & Hers Health,$870M,https://www.hims.com,Telehealth & Consumer Health
GoodRx,$790M,https://www.goodrx.com,Consumer Health / Rx Savings
Medifast,$600M,https://www.medifast1.com,Health & Wellness
USANA Health Sciences,$860M,https://www.usana.com,Nutrition & Wellness
Nature's Sunshine Products,$450M,https://www.naturessunshine.com,Nutrition & Wellness
BODi (The Beachbody Company),$430M,https://www.teambeachbody.com,Fitness & Wellness
Xponential Fitness,$320M,https://www.xponential.com,Boutique Fitness Franchising
Chegg,$620M,https://www.chegg.com,Education Technology
Duolingo,$530M,https://www.duolingo.com,Education Technology
Coursera,$700M,https://www.coursera.org,Education Technology
Udemy,$780M,https://www.udemy.com,Education Technology
Vimeo,$420M,https://www.vimeo.com,Video Platform
Shutterstock,$940M,https://www.shutterstock.com,Digital Media Marketplace
Groupon,$500M,https://www.groupon.com,Deals & Local Marketplace
Cars.com,$720M,https://www.cars.com,Automotive Marketplace
CarGurus,$900M,https://www.cargurus.com,Automotive Marketplace
CarParts.com,$600M,https://www.carparts.com,Auto Parts E-commerce
NerdWallet,$600M,https://www.nerdwallet.com,Consumer Finance Media
EverQuote,$500M,https://www.everquote.com,Insurance Marketplace
SelectQuote,$1.1B,https://www.selectquote.com,Insurance Marketplace
MoneyLion,$480M,https://www.moneylion.com,Consumer Fintech
Oportun Financial,$1B,https://www.oportun.com,Consumer Lending
World Acceptance,$560M,https://www.worldacceptance.com,Consumer Lending
Regional Management,$580M,https://www.regionalmanagement.com,Consumer Lending
WideOpenWest (WOW!),$700M,https://www.wowway.com,Broadband
WW International (WeightWatchers),$800M,https://www.weightwatchers.com,Wellness & Weight Management
Universal Technical Institute,$730M,https://www.uti.edu,Career Education
American Public Education,$600M,https://www.americanpubliceducation.com,Online Higher Education
Monro,$1.28B,https://www.monro.com,Auto Service & Tire Retail
